,name,Year of release,Time duration,Rating of novie,Vote
417,Miracle on 34th Street,1947,96 min,7.9,"47,935"
418,Brute Force,1947,98 min,7.6,"10,524"
419,Kiss of Death,1947,99 min,7.4,"8,506"
420,Los tres García,1947,118 min,7.9,659
421,Dark Passage,1947,106 min,7.5,"20,266"
422,Quai des Orfèvres,1947,106 min,7.7,"5,985"
423,The Pearl,1947,77 min,7.4,"1,026"
424,Nightmare Alley,1947,110 min,7.7,"12,328"
425,Body and Soul,1947,104 min,7.6,"4,997"
426,Out of the Past,1947,97 min,8,"37,709"
427,The Bishop's Wife,1947,109 min,7.5,"17,996"
428,O Leão da Estrela,1947,121 min,7.7,"1,167"
429,It Happened in Europe,1947,100 min,7.7,982
430,The Lady from Shanghai,1947,87 min,7.5,"30,768"
431,The Spring River Flows East,1947,192 min,7.3,338
432,Oi Germanoi xanarhontai...,1948,90 min,7.8,580
433,The Treasure of the Sierra Madre,1948,126 min,8.2,"125,361"
434,The Search,1948,104 min,7.8,"4,464"
435,Call Northside 777,1948,112 min,7.4,"9,141"
436,The Naked City,1948,96 min,7.6,"13,955"
437,I Remember Mama,1948,134 min,7.9,"5,579"
438,Sitting Pretty,1948,83 min,7.5,"2,480"
439,God Bless You,1948,120 min,7.7,260
440,The Big Clock,1948,95 min,7.6,"8,821"
441,Nosotros los pobres,1948,128 min,7.8,"1,081"
442,Fort Apache,1948,128 min,7.4,"18,449"
443,Drunken Angel,1948,102 min,7.7,"12,206"
444,Letter from an Unknown Woman,1948,87 min,7.9,"12,605"
445,Hamlet,1948,154 min,7.6,"17,156"
446,Abbott and Costello Meet Frankenstein,1948,83 min,7.3,"17,977"
447,Oliver Twist,1948,105 min,7.8,"12,672"
448,Easter Parade,1948,103 min,7.3,"10,166"
449,Germany Year Zero,1948,78 min,7.8,"12,550"
450,Key Largo,1948,100 min,7.7,"41,381"
451,The Red Shoes,1948,135 min,8.1,"35,419"
452,Los tres huastecos,1948,120 min,8.1,750
453,Rope,1948,80 min,7.9,"144,280"
454,Hachi no su no kodomotachi,1948,86 min,7.6,255
455,They Live by Night,1948,95 min,7.4,"8,480"
456,Red River,1948,133 min,7.8,"31,602"
457,The Fallen Idol,1948,95 min,7.6,"8,963"
458,The Winslow Boy,1948,117 min,7.6,"1,596"
459,La Terra Trema,1948,160 min,7.8,"5,173"
460,Macbeth,1948,107 min,7.4,"7,285"
461,Johnny Belinda,1948,102 min,7.7,"4,902"
462,A Hen in the Wind,1948,84 min,7.4,"1,538"
463,The Snake Pit,1948,108 min,7.6,"7,763"
464,Unfaithfully Yours,1948,105 min,7.5,"5,352"
465,Bicycle Thieves,1948,89 min,8.3,"163,798"
466,Act of Violence,1948,82 min,7.5,"5,271"
467,Yellow Sky,1948,98 min,7.4,"5,173"
468,Portrait of Jennie,1948,86 min,7.6,"7,008"
469,"Ustedes, los ricos",1948,130 min,7.6,585
470,Criss Cross,1949,84 min,7.4,"8,707"
471,A Letter to Three Wives,1949,103 min,7.7,"9,953"
472,In the Name of the Law,1949,100 min,7.5,560
473,Una familia de tantas,1949,130 min,7.8,343
474,The Set-Up,1949,73 min,7.8,"9,198"
475,Champion,1949,99 min,7.4,"4,407"
476,White Paws,1949,92 min,7.5,340
477,Le Silence de la Mer,1949,87 min,7.6,"5,173"
478,The Secret Garden,1949,92 min,7.5,"3,072"
479,The Window,1949,73 min,7.4,"4,275"
480,Jour de Fête,1949,70 min,7.2,"8,514"
481,Kind Hearts and Coronets,1949,106 min,8,"37,591"
482,House of Strangers,1949,101 min,7.4,"3,724"
483,She Wore a Yellow Ribbon,1949,104 min,7.2,"18,041"
484,The Hidden Room,1949,96 min,7.4,"2,271"
485,White Heat,1949,114 min,8.1,"33,259"
486,The Third Man,1949,93 min,8.1,"172,074"
487,Bitter Rice,1949,108 min,7.6,"4,338"
488,Late Spring,1949,108 min,8.2,"17,240"
489,Thieves' Highway,1949,94 min,7.5,"6,199"
490,The Heiress,1949,115 min,8.1,"16,020"
491,Intruder in the Dust,1949,87 min,7.6,"2,354"
492,Stray Dog,1949,122 min,7.8,"17,421"
493,All the King's Men,1949,110 min,7.4,"15,283"
494,Battleground,1949,118 min,7.4,"7,346"
495,Adam's Rib,1949,101 min,7.5,"21,555"
496,On the Town,1949,98 min,7.3,"17,759"
497,Samson and Delilah,1949,134 min,6.8,"8,137"
498,Twelve O'Clock High,1949,132 min,7.7,"14,928"
499,D.O.A.,1949,83 min,7.2,"12,090"
500,La oveja negra,1949,104 min,8,377
501,Gun Crazy,1950,87 min,7.6,"13,536"
502,The Drunkard,1950,105 min,7.4,355
503,Young Man with a Horn,1950,112 min,7.2,"3,548"
504,Cinderella,1950,74 min,7.3,"161,223"
505,Stromboli,1950,81 min,7.2,"7,176"
506,Orpheus,1950,112 min,7.9,"12,445"
